z=16cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=18cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=20cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k
"6,4",32.08571429,36.87142857,215.050 ,156.349 ,215.045 ,0.884163446,0.004821868,"6,4",32.08571429,36.87142857,213.43,156.242,213.429,0.395274588,0.002164573,"6,4",32.08571429,36.87142857,212.944,156.246,212.941,0.684644433,0.003753427
"7,4",35.9,36.87142857,214.698 ,156.349 ,214.672 ,2.016202867,0.01100456,"7,4",35.9,36.87142857,213.188,156.242,213.177,1.310977498,0.00718315,"7,4",35.9,36.87142857,212.78,156.246,212.773,1.045811647,0.005735663
"8,4",39.71428571,36.87142857,214.304 ,156.349 ,214.266 ,2.43747041,0.013316088,"8,4",39.71428571,36.87142857,212.92,156.242,212.899,1.81137572,0.009931193,"8,4",39.71428571,36.87142857,212.574,156.246,212.563,1.310994279,0.007193517
"9,4",43.52857143,36.87142857,213.971 ,156.349 ,213.916 ,2.932438405,0.016032597,"9,4",43.52857143,36.87142857,212.661,156.242,212.639,1.854002157,0.010171088,"9,4",43.52857143,36.87142857,212.369,156.246,212.358,1.310994279,0.007196988
"0,5",9.2,41.81428571,214.990 ,156.343 ,214.614 ,7.66713558,0.041820074,"0,5",9.2,41.81428571,213.212,156.5,212.89,7.098802716,0.038861729,"0,5",9.2,41.81428571,212.83,156.5,212.568,6.403358494,0.035086029
"1,5",13.01428571,41.81428571,214.998 ,156.340 ,214.750 ,6.226742326,0.033963202,"1,5",13.01428571,41.81428571,213.214,156.5,212.92,6.783140865,0.037133493,"1,5",13.01428571,41.81428571,212.845,156.5,212.607,6.103032033,0.033439267
"2,5",16.82857143,41.81428571,214.781 ,156.379 ,214.537 ,6.177092844,0.033705206,"2,5",16.82857143,41.81428571,213.27,156.5,213.063,5.69170449,0.031154464,"2,5",16.82857143,41.81428571,212.903,156.5,212.742,5.019611539,0.027499326
"3,5",20.64285714,41.81428571,215.057 ,156.473 ,214.943 ,4.223496419,0.023023727,"3,5",20.64285714,41.81428571,213.431,156.5,213.333,3.916248205,0.021428131,"3,5",20.64285714,41.81428571,212.827,156.5,212.671,4.941052519,0.027073783
"4,5",24.45714286,41.81428571,214.919 ,156.567 ,214.890 ,2.130831528,0.011616133,"4,5",24.45714286,41.81428571,213.472,156.5,213.441,2.202612086,0.012050648,"4,5",24.45714286,41.81428571,213.071,156.5,213.05,1.812870652,0.009927673
"5,5",28.27142857,41.81428571,214.781 ,156.594 ,214.778 ,0.685406449,0.003737341,"5,5",28.27142857,41.81428571,213.356,156.5,213.352,0.791201618,0.004329897,"5,5",28.27142857,41.81428571,212.93,156.5,212.928,0.559464029,0.003064761
